date,,cash_strat,mr_strat_1,tf_strat_1
2024-10-26 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 04:00:00,BTCUSDT,0.0,0.0,0.00014619136217489454
2024-10-26 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 05:00:00,BTCUSDT,0.0,0.0,0.0007879446690323334
2024-10-26 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 06:00:00,BTCUSDT,0.0,0.0,0.00016264880102094992
2024-10-26 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 07:00:00,BTCUSDT,0.0,0.0,-0.0006936624301409047
2024-10-26 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 08:00:00,BTCUSDT,0.0,0.0,0.0005423502814259229
2024-10-26 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 09:00:00,BTCUSDT,0.0,0.0,-0.00034200757558246637
2024-10-26 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 10:00:00,BTCUSDT,0.0,0.0,-3.3835859474433875e-06
2024-10-26 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 11:00:00,BTCUSDT,0.0,0.0,0.00035972176084436426
2024-10-26 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 12:00:00,BTCUSDT,0.0,0.0,-0.00044475279887097016
2024-10-26 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 13:00:00,BTCUSDT,0.0,0.0,-0.0006009033950544385
2024-10-26 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 14:00:00,BTCUSDT,0.0,0.0,-0.00041249459558513173
2024-10-26 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 15:00:00,BTCUSDT,0.0,0.0,0.000380250198448934
2024-10-26 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 16:00:00,BTCUSDT,0.0,0.0,0.0004011870852023003
2024-10-26 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-26 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-26 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-26 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-26 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 21:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-26 21:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 22:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-26 22:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-26 23:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-26 23:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 00:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 00:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 01:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 01:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 02:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 02:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 03:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 04:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 05:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 06:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 07:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 08:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 09:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 10:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 11:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 12:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 13:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 14:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 15:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 16:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 21:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 21:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 22:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 22:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-27 23:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-27 23:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 00:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 00:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 01:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 01:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 02:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 02:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 03:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 04:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 05:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 06:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 07:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 08:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 09:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 10:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 11:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 12:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 13:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 14:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 15:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 16:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 21:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 21:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 22:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 22:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-28 23:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-28 23:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 00:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 00:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 01:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 01:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 02:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 02:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 03:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 04:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 05:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 06:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 07:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 08:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 09:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 10:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 11:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 12:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 13:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 14:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 15:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 16:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 21:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 21:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 22:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 22:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-29 23:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-29 23:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 00:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 00:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 01:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 01:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 02:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 02:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 03:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 04:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 05:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 06:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 07:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 08:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 09:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 10:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 11:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 12:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 13:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 14:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 15:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 16:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 21:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 21:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 22:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 22:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-30 23:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-30 23:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 00:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 00:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 01:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 01:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 02:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 02:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 03:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 04:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 05:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 06:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 07:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 08:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 09:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 10:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 11:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 12:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 13:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 14:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 15:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 16:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 21:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 21:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 22:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 22:00:00,ETHUSDT,0.0,0.0,0.0
2024-10-31 23:00:00,BTCUSDT,0.0,0.0,0.0
2024-10-31 23:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 00:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 00:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 01:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 01:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 02:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 02:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 03:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 04:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 05:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 06:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 07:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 08:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 09:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 10:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 11:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 12:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 13:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 14:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 15:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 16:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 21:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 21:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 22:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 22:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-01 23:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-01 23:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 00:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 00:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 01:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 01:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 02:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 02:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 03:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 04:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 05:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 06:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 07:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 08:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 09:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 10:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 11:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 12:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 13:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 14:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 15:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 16:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 21:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 21:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 22:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 22:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-02 23:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-02 23:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 00:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 00:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 01:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 01:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 02:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 02:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 03:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 03:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 04:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 04:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 05:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 05:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 06:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 06:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 07:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 07:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 08:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 08:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 09:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 09:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 10:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 10:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 11:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 11:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 12:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 12:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 13:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 13:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 14:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 14:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 15:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 15:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 16:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 16:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 17:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 17:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 18:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 18:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 19:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 19:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 20:00:00,BTCUSDT,0.0,0.0,0.0
2024-11-03 20:00:00,ETHUSDT,0.0,0.0,0.0
2024-11-03 21:00:00,BTCUSDT,0.0,0.0,0.0
